id(勿改),中文名(可修改),英文名,部位,器械,状态,说明
0362,哑铃单臂肱三头肌伸展（凳）,dumbbell one arm triceps extension (on bench),上臂,哑铃,ok,
0363,哑铃单臂直立划船,dumbbell one arm upright row,肩部,哑铃,ok,
0364,哑铃单臂腕弯举,dumbbell one arm wrist curl,前臂,哑铃,ok,
0365,哑铃越过凳中立腕弯举,dumbbell over bench neutral wrist curl,上臂,哑铃,ok,
0366,哑铃越过凳单臂中立腕弯举,dumbbell over bench one arm neutral wrist curl,上臂,哑铃,ok,
0367,哑铃越过凳单臂腕弯举,dumbbell over bench one arm wrist curl,前臂,哑铃,ok,
0368,哑铃越过凳反向腕弯举,dumbbell over bench revers wrist curl,前臂,哑铃,ok,
0369,哑铃越过凳腕弯举,dumbbell over bench wrist curl,前臂,哑铃,ok,
0370,哑铃牧师凳锤式弯举,dumbbell peacher hammer curl,上臂,哑铃,ok,
0371,哑铃增强式深蹲,dumbbell plyo squat,大腿,哑铃,ok,
0372,哑铃牧师凳弯举,dumbbell preacher curl,上臂,哑铃,ok,
0373,哑铃旋前握肱三头肌伸展,dumbbell pronate-grip triceps extension,上臂,哑铃,ok,
0374,哑铃俯卧上斜弯举,dumbbell prone incline curl,上臂,哑铃,ok,
0375,哑铃仰卧上拉,dumbbell pullover,胸部,哑铃,ok,
0376,哑铃上举,dumbbell raise,肩部,哑铃,ok,
0377,哑铃后束划船肩,dumbbell rear delt row_shoulder,肩部,哑铃,ok,
0378,哑铃后飞鸟,dumbbell rear fly,肩部,哑铃,ok,
0379,哑铃后侧平举（支撑头）,dumbbell rear lateral raise (support head),肩部,哑铃,ok,
0380,哑铃后侧平举,dumbbell rear lateral raise,肩部,哑铃,ok,
0381,哑铃后弓步,dumbbell rear lunge,大腿,哑铃,ok,
0382,哑铃反握肱二头肌弯举,dumbbell revers grip biceps curl,上臂,哑铃,ok,
0383,哑铃反向飞鸟,dumbbell reverse fly,肩部,哑铃,ok,
0384,哑铃反向牧师凳弯举,dumbbell reverse preacher curl,上臂,哑铃,ok,
0385,哑铃反向腕弯举,dumbbell reverse wrist curl,前臂,哑铃,ok,
0386,哑铃旋转反向飞鸟,dumbbell rotation reverse fly,肩部,哑铃,ok,
0387,哑铃坐姿交替前平举,dumbbell seated alternate front raise,肩部,哑铃,ok,
0388,哑铃坐姿交替推举,dumbbell seated alternate press,肩部,哑铃,ok,
0389,哑铃坐姿凳伸展,dumbbell seated bench extension,上臂,哑铃,ok,
0390,哑铃坐姿肱二头肌弯举（健身球）,dumbbell seated biceps curl (on stability ball),上臂,哑铃,ok,
0391,哑铃坐姿弯举,dumbbell seated curl,上臂,哑铃,ok,
0392,哑铃坐姿前平举,dumbbell seated front raise,肩部,哑铃,ok,
0393,哑铃坐姿内侧肱二头肌弯举,dumbbell seated inner biceps curl,上臂,哑铃,ok,
0394,哑铃坐姿后踢,dumbbell seated kickback,上臂,哑铃,ok,
0395,哑铃坐姿侧平举（第2式）,dumbbell seated lateral raise v. 2,肩部,哑铃,ok,
0396,哑铃坐姿侧平举,dumbbell seated lateral raise,肩部,哑铃,ok,
0397,哑铃坐姿中立腕弯举,dumbbell seated neutral wrist curl,上臂,哑铃,ok,
0398,哑铃坐姿单臂后踢,dumbbell seated one arm kickback,上臂,哑铃,ok,
0399,哑铃坐姿单臂旋转,dumbbell seated one arm rotate,前臂,哑铃,ok,
0400,哑铃坐姿单腿提踵,dumbbell seated one leg calf raise,小腿,哑铃,ok,
0401,哑铃坐姿掌上腕弯举,dumbbell seated palms up wrist curl,前臂,哑铃,ok,
0402,哑铃坐姿牧师凳弯举,dumbbell seated preacher curl,上臂,哑铃,ok,
0403,哑铃坐姿反握集中弯举,dumbbell seated revers grip concentration curl,上臂,哑铃,ok,
0404,哑铃坐姿肩推（平行握）,dumbbell seated shoulder press (parallel grip),肩部,哑铃,ok,
0405,哑铃坐姿肩推,dumbbell seated shoulder press,肩部,哑铃,ok,
0406,哑铃耸肩,dumbbell shrug,背部,哑铃,ok,
0407,哑铃侧屈,dumbbell side bend,腰腹,哑铃,ok,
0408,哑铃侧卧单手上举,dumbbell side lying one hand raise,肩部,哑铃,ok,
0409,哑铃单腿提踵,dumbbell single leg calf raise,小腿,哑铃,ok,
0410,哑铃单腿分腿蹲,dumbbell single leg split squat,大腿,哑铃,ok,
0411,哑铃单腿深蹲,dumbbell single leg squat,大腿,哑铃,ok,
0413,哑铃深蹲,dumbbell squat,大腿,哑铃,ok,
0414,哑铃站姿交替过头推举,dumbbell standing alternate overhead press,肩部,哑铃,ok,
0415,哑铃站姿交替上举,dumbbell standing alternate raise,肩部,哑铃,ok,
0416,哑铃站姿肱二头肌弯举,dumbbell standing biceps curl,上臂,哑铃,ok,
0417,哑铃站姿提踵,dumbbell standing calf raise,小腿,哑铃,ok,
0418,哑铃站姿集中弯举,dumbbell standing concentration curl,上臂,哑铃,ok,
0419,哑铃站姿前平举上方头,dumbbell standing front raise above head,肩部,哑铃,ok,
0420,哑铃站姿后踢,dumbbell standing kickback,上臂,哑铃,ok,
0421,哑铃站姿单臂集中弯举,dumbbell standing one arm concentration curl,上臂,哑铃,ok,
0422,哑铃站姿单臂弯举（越过上斜凳）,dumbbell standing one arm curl (over incline bench),上臂,哑铃,ok,
0423,哑铃站姿单臂伸展,dumbbell standing one arm extension,上臂,哑铃,ok,
0424,哑铃站姿单臂掌推举,dumbbell standing one arm palm in press,肩部,哑铃,ok,
0425,哑铃站姿单臂反向弯举,dumbbell standing one arm reverse curl,上臂,哑铃,ok,
0426,哑铃站姿过头推举,dumbbell standing overhead press,肩部,哑铃,ok,
0427,哑铃站姿掌推举,dumbbell standing palms in press,肩部,哑铃,ok,
0428,哑铃站姿牧师凳弯举,dumbbell standing preacher curl,上臂,哑铃,ok,
0429,哑铃站姿反向弯举,dumbbell standing reverse curl,上臂,哑铃,ok,
0430,哑铃站姿肱三头肌伸展,dumbbell standing triceps extension,上臂,哑铃,ok,
0431,哑铃登台阶,dumbbell step-up,大腿,哑铃,ok,
0432,哑铃罗马尼亚硬拉,dumbbell stiff leg deadlift,大腿,哑铃,ok,
0433,哑铃直臂仰卧上拉,dumbbell straight arm pullover,胸部,哑铃,ok,
0434,哑铃直腿硬拉,dumbbell straight leg deadlift,大腿,哑铃,ok,
0436,哑铃泰特推举,dumbbell tate press,上臂,哑铃,ok,
0437,哑铃直立划船,dumbbell upright row,肩部,哑铃,ok,
0438,哑铃W字推举,dumbbell w-press,肩部,哑铃,ok,
0439,哑铃佐特曼弯举,dumbbell zottman curl,上臂,哑铃,ok,
0443,肘膝,elbow-to-knee,腰腹,徒手,ok,
0445,曲杆抗重力推举,ez barbell anti gravity press,肩部,曲杆,ok,
0446,曲杆窄距弯举,ez barbell close-grip curl,上臂,曲杆,ok,
0447,曲杆弯举,ez barbell curl,上臂,曲杆,ok,
0448,曲杆下斜窄距面推举,ez barbell decline close grip face press,上臂,曲杆,ok,
0449,曲杆上斜肱三头肌伸展,ez barbell incline triceps extension,上臂,曲杆,ok,
0450,曲杆JM卧推,ez barbell jm bench press,上臂,曲杆,ok,
0451,曲杆反握弯举,ez barbell reverse grip curl,上臂,曲杆,ok,
0452,曲杆反握牧师凳弯举,ez barbell reverse grip preacher curl,上臂,曲杆,ok,
0453,曲杆坐姿肱三头肌伸展,ez barbell seated triceps extension,上臂,曲杆,ok,
0454,曲杆蜘蛛弯举,ez barbell spider curl,上臂,曲杆,ok,
0455,杠铃指弯举,finger curls,前臂,杠铃,ok,
0456,屈曲腿仰卧起坐（屈膝）,flexion leg sit up (bent knee),腰腹,徒手,ok,
0457,屈曲腿仰卧起坐（直臂）,flexion leg sit up (straight arm),腰腹,徒手,ok,
0458,杠铃地面飞鸟,floor fly (with barbell),胸部,杠铃,ok,
0459,打水踢腿,flutter kicks,大腿,徒手,ok,
0464,前平板支撑（转体）,front plank with twist,腰腹,徒手,ok,
0466,吉龙达胸骨引体,gironda sternum chin,背部,徒手,ok,
0467,大猩猩引体,gorilla chin,腰腹,徒手,ok,
0469,腹股沟卷腹,groin crunch,腰腹,徒手,ok,
0471,倒立俯卧撑,handstand push-up,上臂,徒手,ok,
0472,悬垂抬腿,hanging leg raise,腰腹,徒手,ok,
0473,悬垂屈体,hanging pike,腰腹,徒手,ok,
0474,悬垂直腿髋上举,hanging straight leg hip raise,腰腹,徒手,ok,
0475,悬垂直腿上举,hanging straight leg raise,腰腹,徒手,ok,
0476,悬垂直转体腿髋上举,hanging straight twisting leg hip raise,腰腹,徒手,ok,
0484,髋上举（屈膝）,hip raise (bent knee),腰腹,徒手,ok,
0488,山羊挺身（凳）,hyperextension (on bench),背部,徒手,ok,
0489,山羊挺身,hyperextension,背部,徒手,ok,
0490,上斜窄距俯卧撑,incline close-grip push-up,上臂,徒手,ok,
0491,上斜腿髋上举（腿直）,incline leg hip raise (leg straight),腰腹,徒手,ok,
0492,上斜俯卧撑深度跳跃,incline push up depth jump,胸部,徒手,ok,
0493,上斜俯卧撑,incline push-up,胸部,徒手,ok,
0494,上斜反握俯卧撑,incline reverse grip push-up,胸部,徒手,ok,
0495,上斜转体仰卧起坐,incline twisting sit-up,腰腹,徒手,ok,
0496,反向腿弯举（凳支撑）,inverse leg curl (bench support),大腿,徒手,ok,
0497,倒立划船（第2式）,inverted row v. 2,背部,徒手,ok,
0498,倒立划船（拉带）,inverted row with straps,背部,徒手,ok,
0499,倒立划船,inverted row,背部,徒手,ok,
0500,等长雨刷式,isometric wipers,胸部,徒手,ok,
0501,开合波比跳,jack burpee,有氧,徒手,ok,
0507,折叠式仰卧起坐,jackknife sit-up,腰腹,徒手,ok,
0508,扬达仰卧起坐,janda sit-up,腰腹,徒手,ok,
0513,蹲跳（第2式）,jump squat v. 2,大腿,徒手,ok,
0514,蹲跳,jump squat,大腿,徒手,ok,
0517,壶铃进阶风车式,kettlebell advanced windmill,腰腹,壶铃,ok,
0518,壶铃交替悬垂高翻,kettlebell alternating hang clean,前臂,壶铃,ok,
0519,壶铃交替推举（地面）,kettlebell alternating press on floor,胸部,壶铃,ok,
0520,壶铃交替推举,kettlebell alternating press,肩部,壶铃,ok,
0521,壶铃交替叛徒划船,kettlebell alternating renegade row,背部,壶铃,ok,
0522,壶铃交替划船,kettlebell alternating row,背部,壶铃,ok,
0523,壶铃阿诺德推举,kettlebell arnold press,肩部,壶铃,ok,
0524,壶铃屈推举,kettlebell bent press,腰腹,壶铃,ok,
0525,壶铃托举高翻悬垂位,kettlebell bottoms up clean from the hang position,上臂,壶铃,ok,
0526,壶铃双交替悬垂高翻,kettlebell double alternating hang clean,上臂,壶铃,ok,
0527,壶铃双挺举,kettlebell double jerk,肩部,壶铃,ok,
0528,壶铃双推推举,kettlebell double push press,肩部,壶铃,ok,
0529,壶铃双抓举,kettlebell double snatch,肩部,壶铃,ok,
0530,壶铃双风车式,kettlebell double windmill,腰腹,壶铃,ok,
0531,壶铃伸展幅度单臂推举（地面）,kettlebell extended range one arm press on floor,胸部,壶铃,ok,
0532,壶铃8字,kettlebell figure 8,腰腹,壶铃,ok,
0533,壶铃前蹲,kettlebell front squat,大腿,壶铃,ok,
0534,壶铃高脚杯深蹲,kettlebell goblet squat,大腿,壶铃,ok,
0535,壶铃悬垂高翻,kettlebell hang clean,大腿,壶铃,ok,
0536,壶铃弓步传递穿过,kettlebell lunge pass through,大腿,壶铃,ok,
0537,壶铃单臂高翻挺举,kettlebell one arm clean and jerk,肩部,壶铃,ok,
0538,壶铃单臂挺举,kettlebell one arm jerk,肩部,壶铃,ok,
0539,壶铃单臂军式推举侧,kettlebell one arm military press to the side,肩部,壶铃,ok,
0540,壶铃单臂推推举,kettlebell one arm push press,肩部,壶铃,ok,
0541,壶铃单臂划船,kettlebell one arm row,背部,壶铃,ok,
0542,壶铃单臂抓举,kettlebell one arm snatch,肩部,壶铃,ok,
0543,壶铃海盗超人式腿,kettlebell pirate supper legs,肩部,壶铃,ok,
0544,壶铃单腿深蹲,kettlebell pistol squat,大腿,壶铃,ok,
0545,壶铃增强式俯卧撑,kettlebell plyo push-up,胸部,壶铃,ok,
0546,壶铃坐姿推举,kettlebell seated press,肩部,壶铃,ok,
0547,壶铃跷跷板式推举,kettlebell seesaw press,肩部,壶铃,ok,
0548,壶铃相扑高拉,kettlebell sumo high pull,背部,壶铃,ok,
0549,壶铃摆荡,kettlebell swing,大腿,壶铃,ok,
0550,壶铃推举深蹲,kettlebell thruster,肩部,壶铃,ok,
0551,壶铃土耳其起立（深蹲式）,kettlebell turkish get up (squat style),大腿,壶铃,ok,
0552,壶铃双臂高翻,kettlebell two arm clean,肩部,壶铃,ok,
0553,壶铃双臂军式推举,kettlebell two arm military press,肩部,壶铃,ok,
0554,壶铃风车式,kettlebell windmill,腰腹,壶铃,ok,
0555,踢腿出坐,kick out sit,大腿,徒手,ok,
0558,摆荡式肌肉上,kipping muscle up,背部,徒手,ok,
0562,杠铃地雷管180,landmine 180,腰腹,杠铃,ok,
0570,腿拉平躺凳,leg pull in flat bench,腰腹,徒手,ok,
0571,器械交替窄距坐姿划船,lever alternating narrow grip seated row,背部,器械,ok,
0572,器械反握引体向上,lever assisted chin-up,背部,器械,ok,
0573,器械背部伸展,lever back extension,背部,器械,ok,
0574,T杠俯身划船,lever bent over row,背部,杠铃,ok,
0575,器械肱二头肌弯举,lever bicep curl,上臂,器械,ok,
0576,器械胸推,lever chest press,胸部,器械,ok,
0578,器械硬拉,lever deadlift,大腿,器械,ok,
0579,器械前下拉,lever front pulldown,背部,器械,ok,
0580,器械无握耸肩,lever gripless shrug,背部,器械,ok,
0581,器械高划船,lever high row,背部,器械,ok,
0582,器械跪姿腿弯举,lever kneeling leg curl,大腿,器械,ok,
0583,器械跪姿转体,lever kneeling twist,腰腹,器械,ok,
0584,器械侧平举,lever lateral raise,肩部,器械,ok,
0585,器械腿屈伸,lever leg extension,大腿,器械,ok,
0586,器械仰卧腿弯举,lever lying leg curl,大腿,器械,ok,
0587,器械军式推举,lever military press,肩部,器械,ok,
0588,器械窄距坐姿划船,lever narrow grip seated row,背部,器械,ok,
0589,T杠单臂俯身划船,lever one arm bent over row,背部,杠铃,ok,
0590,器械单臂肩推,lever one arm shoulder press,肩部,器械,ok,
0591,器械正握肱三头肌臂屈伸,lever overhand triceps dip,上臂,器械,ok,
0592,器械牧师凳弯举,lever preacher curl,上臂,器械,ok,
0593,器械反向山羊挺身,lever reverse hyperextension,大腿,器械,ok,
0594,器械坐姿提踵,lever seated calf raise,小腿,器械,ok,
0595,器械坐姿卷腹（胸垫）,lever seated crunch (chest pad),腰腹,器械,ok,
0596,器械坐姿飞鸟,lever seated fly,胸部,器械,ok,
0597,器械坐姿髋外展,lever seated hip abduction,大腿,器械,ok,
0598,器械坐姿髋内收,lever seated hip adduction,大腿,器械,ok,
0599,器械坐姿腿弯举,lever seated leg curl,大腿,器械,ok,
0600,器械坐姿抬腿卷腹,lever seated leg raise crunch,腰腹,器械,ok,
0601,器械坐姿反向飞鸟（平行握）,lever seated reverse fly (parallel grip),肩部,器械,ok,
0602,器械坐姿反向飞鸟,lever seated reverse fly,肩部,器械,ok,
0603,器械肩推,lever shoulder press,肩部,器械,ok,
0604,器械耸肩,lever shrug,背部,器械,ok,
0605,器械站姿提踵,lever standing calf raise,小腿,器械,ok,
0606,器械T字杠划船,lever t bar row,背部,器械,ok,
0607,器械肱三头肌伸展,lever triceps extension,上臂,器械,ok,
0609,战绳伦敦臀桥,london bridge,背部,战绳,ok,
0613,仰卧股四头肌拉伸（侧）,lying (side) quads stretch,大腿,徒手,ok,
0620,仰卧抬腿平躺凳,lying leg raise flat bench,腰腹,徒手,ok,
0624,踏步坐（墙）,march sit (wall),大腿,徒手,ok,
0627,混合握反握引体向上,mixed grip chin-up,背部,徒手,ok,
0628,怪兽行走,monster walk,大腿,徒手,ok,
0630,登山跑,mountain climber,有氧,徒手,ok,
0631,肌肉上,muscle up,背部,徒手,ok,
0634,退让卷腹,negative crunch,腰腹,徒手,ok,
0635,腹斜肌卷腹地面,oblique crunches floor,腰腹,徒手,ok,
0636,奥杆锤式弯举,olympic barbell hammer curl,上臂,奥杆,ok,
0637,奥杆肱三头肌伸展,olympic barbell triceps extension,上臂,奥杆,ok,
0638,单臂反握引体向上,one arm chin-up,背部,徒手,ok,
0639,单臂臂屈伸,one arm dip,上臂,徒手,ok,
0640,药球单臂砸球,one arm slam (with medicine ball),腰腹,药球,ok,
0641,负重奥蒂斯上,otis up,腰腹,负重,ok,
0642,外侧腿踢腿俯卧撑,outside leg kick push-up,大腿,徒手,ok,
0643,过头肱三头肌拉伸,overhead triceps stretch,上臂,徒手,ok,
0648,杠铃爆发高翻,power clean,大腿,杠铃,ok,
0650,健身球拉,pull-in (on stability ball),腰腹,健身球,ok,
0651,引体向上（中立握）,pull up (neutral grip),背部,徒手,ok,
0652,引体向上,pull-up,背部,徒手,ok,
0653,波速球俯卧撑,push-up (bosu ball),胸部,波速球,ok,
0655,健身球俯卧撑,push-up (on stability ball),胸部,健身球,ok,
0658,俯卧撑（墙）（第2式）,push-up (wall) v. 2,胸部,徒手,ok,
0659,俯卧撑（墙）,push-up (wall),胸部,徒手,ok,
0660,哑铃俯卧撑窄距离,push-up close-grip off dumbbell,上臂,哑铃,ok,
0661,俯卧撑内侧腿踢腿,push-up inside leg kick,大腿,徒手,ok,
0662,俯卧撑,push-up,胸部,徒手,ok,
0663,药球俯卧撑,push-up medicine ball,胸部,药球,ok,
0664,俯卧撑侧平板支撑,push-up to side plank,腰腹,徒手,ok,
0666,上举单臂俯卧撑,raise single arm push-up,胸部,徒手,ok,
0668,后下斜臀桥,rear decline bridge,大腿,徒手,ok,
0669,后三角肌拉伸,rear deltoid stretch,肩部,徒手,ok,
0670,后引体向上,rear pull-up,背部,徒手,ok,
0672,反向臂屈伸,reverse dip,上臂,徒手,ok,
0673,器械反握背阔肌下拉,reverse grip machine lat pulldown,背部,器械,ok,
0674,反握引体向上,reverse grip pull-up,背部,徒手,ok,
0675,健身球反向挺身伸展,reverse hyper extension (on stability ball),大腿,健身球,ok,
0677,吊环臂屈伸,ring dips,上臂,徒手,ok,
0678,洛奇引体向上下拉,rocky pull-up pulldown,背部,徒手,ok,
0680,战绳绳攀爬,rope climb,背部,战绳,ok,
0684,器械跑步,run (equipment),有氧,徒手,ok,
0685,跑步,run,有氧,徒手,ok,
0687,俄罗斯转体,russian twist,腰腹,徒手,ok,
0688,肩胛引体向上,scapular pull-up,背部,徒手,ok,
0689,坐姿抬腿,seated leg raise,腰腹,徒手,ok,
0690,坐姿下背拉伸,seated lower back stretch,背部,徒手,ok,
0691,坐姿侧卷腹（墙）,seated side crunch (wall),腰腹,徒手,ok,
0696,自体反向腿弯举（地面）,self assisted inverse leg curl (on floor),大腿,徒手,ok,
0697,自体反向腿弯举,self assisted inverse leg curl,大腿,徒手,ok,
0699,肩拍击俯卧撑,shoulder tap push-up,胸部,徒手,ok,
0705,侧臀桥（第2式）,side bridge v. 2,腰腹,徒手,ok,
0709,侧髋（平行杠）,side hip (on parallel bars),腰腹,徒手,ok,
0710,侧髋外展,side hip abduction,大腿,徒手,ok,
0716,侧推颈拉伸,side push neck stretch,颈部,徒手,ok,
0717,侧俯卧撑,side push-up,上臂,徒手,ok,
0720,侧侧引体,side-to-side chin,背部,徒手,ok,
0721,侧腕拉拉伸,side wrist pull stretch,前臂,徒手,ok,
0725,单臂俯卧撑,single arm push-up,胸部,徒手,ok,
0730,单腿台滑行,single leg platform slide,大腿,徒手,ok,
0735,仰卧起坐（第2式）,sit-up v. 2,腰腹,徒手,ok,
0738,雪橇机45°小腿推举,sled 45в° calf press,小腿,雪橇机,ok,
0739,雪橇机45°腿举,sled 45в° leg press,大腿,雪橇机,ok,
0740,雪橇机45°腿宽推举,sled 45в° leg wide press,大腿,雪橇机,ok,
0741,雪橇机更近哈克深蹲,sled closer hack squat,大腿,雪橇机,ok,
0742,雪橇机向前斜角提踵,sled forward angled calf raise,小腿,雪橇机,ok,
0743,雪橇机哈克深蹲,sled hack squat,大腿,雪橇机,ok,
0744,雪橇机仰卧深蹲,sled lying squat,大腿,雪橇机,ok,
0746,史密斯机背耸肩,smith back shrug,背部,史密斯机,ok,
0747,史密斯机背后颈推举,smith behind neck press,肩部,史密斯机,ok,
0748,史密斯机卧推,smith bench press,胸部,史密斯机,ok,
0749,史密斯机屈膝早安式,smith bent knee good morning,大腿,史密斯机,ok,
0750,史密斯机椅深蹲,smith chair squat,大腿,史密斯机,ok,
0751,史密斯机窄距卧推,smith close-grip bench press,上臂,史密斯机,ok,
0752,史密斯机硬拉,smith deadlift,大腿,史密斯机,ok,
0753,史密斯机下斜卧推,smith decline bench press,胸部,史密斯机,ok,
0754,史密斯机下斜反握推举,smith decline reverse-grip press,胸部,史密斯机,ok,
0755,史密斯机哈克深蹲,smith hack squat,大腿,史密斯机,ok,
0756,史密斯机髋上举,smith hip raise,腰腹,史密斯机,ok,
0757,史密斯机上斜卧推,smith incline bench press,胸部,史密斯机,ok,
0758,史密斯机上斜反握推举,smith incline reverse-grip press,胸部,史密斯机,ok,
0759,史密斯机上斜肩上举,smith incline shoulder raises,胸部,史密斯机,ok,
0760,史密斯机腿举,smith leg press,大腿,史密斯机,ok,
0761,史密斯机窄划船,smith narrow row,背部,史密斯机,ok,
0762,史密斯机后束划船,smith rear delt row,肩部,史密斯机,ok,
0763,史密斯机反向提踵,smith reverse calf raises,小腿,史密斯机,ok,
0764,史密斯机反握推举,smith reverse-grip press,胸部,史密斯机,ok,
0765,史密斯机坐姿肩推,smith seated shoulder press,肩部,史密斯机,ok,
0766,史密斯机肩推,smith shoulder press,肩部,史密斯机,ok,
0767,史密斯机耸肩,smith shrug,背部,史密斯机,ok,
0768,史密斯机单腿分腿蹲,smith single leg split squat,大腿,史密斯机,ok,
0769,史密斯机冲刺弓步,smith sprint lunge,大腿,史密斯机,ok,
0770,史密斯机深蹲,smith squat,大腿,史密斯机,ok,
0771,史密斯机站姿背腕弯举,smith standing back wrist curl,前臂,史密斯机,ok,
0772,史密斯机站姿背后头军式推举,smith standing behind head military press,肩部,史密斯机,ok,
0773,史密斯机站姿腿提踵,smith standing leg calf raise,小腿,史密斯机,ok,
0774,史密斯机站姿军式推举,smith standing military press,肩部,史密斯机,ok,
0775,史密斯机直立划船,smith upright row,肩部,史密斯机,ok,
0776,杠铃抓举拉,snatch pull,大腿,杠铃,ok,
0777,哑铃施法者,spell caster,腰腹,哑铃,ok,
0778,蜘蛛爬行俯卧撑,spider crawl push up,大腿,徒手,ok,
0786,杠铃深蹲挺举,squat jerk,大腿,杠铃,ok,
0788,杠铃站姿背后颈推举,standing behind neck press,肩部,杠铃,ok,
0794,站姿侧向拉伸,standing lateral stretch,背部,徒手,ok,
0795,站姿单腿弯举,standing single leg curl,大腿,徒手,ok,
0796,健腹轮站姿健腹轮,standing wheel rollerout,腰腹,健腹轮,ok,
0798,器械行走,stationary bike walk,有氧,器械,ok,
0803,超人式俯卧撑,superman push-up,胸部,徒手,ok,
0805,悬挂腹部前伸,suspended abdominal fallout,腰腹,徒手,ok,
0806,悬挂俯卧撑,suspended push-up,胸部,徒手,ok,
0807,悬挂反向卷腹,suspended reverse crunch,腰腹,徒手,ok,
0808,悬挂划船,suspended row,背部,徒手,ok,
0809,悬挂分腿蹲,suspended split squat,大腿,徒手,ok,
0811,六角杠硬拉,trap bar deadlift,大腿,六角杠,ok,
0812,肱三头肌臂屈伸（凳腿）,triceps dip (bench leg),上臂,徒手,ok,
0813,肱三头肌臂屈伸（之间凳）,triceps dip (between benches),上臂,徒手,ok,
0814,肱三头肌臂屈伸,triceps dip,上臂,徒手,ok,
0815,肱三头肌臂屈伸地面,triceps dips floor,上臂,徒手,ok,
0816,肱三头肌推举,triceps press,上臂,徒手,ok,
0817,肱三头肌拉伸,triceps stretch,上臂,徒手,ok,
0818,绳索双握把平行握背阔肌下拉,twin handle parallel grip lat pulldown,背部,绳索,ok,
0826,垂直抬腿（平行杠）,vertical leg raise (on parallel bars),腰腹,徒手,ok,
0830,负重凳臂屈伸,weighted bench dip,上臂,负重,ok,
0832,负重卷腹,weighted crunch,腰腹,负重,ok,
0833,负重驴式提踵,weighted donkey calf raise,小腿,负重,ok,
0834,负重前平举,weighted front raise,肩部,负重,ok,
0835,负重山羊挺身（健身球）,weighted hyperextension (on stability ball),背部,负重,ok,
0840,负重过头卷腹（健身球）,weighted overhead crunch (on stability ball),腰腹,负重,ok,
0841,负重引体向上,weighted pull-up,背部,负重,ok,
0844,负重圆背臂,weighted round arm,肩部,负重,ok,
0845,负重俄罗斯转体（腿上）,weighted russian twist (legs up),腰腹,负重,ok,
0846,负重俄罗斯转体,weighted russian twist,腰腹,负重,ok,
0847,药球坐姿肱二头肌弯举（健身球）,weighted seated bicep curl (on stability ball),上臂,药球,ok,
0849,负重坐姿转体（健身球）,weighted seated twist (on stability ball),腰腹,负重,ok,
0850,负重侧屈（健身球）,weighted side bend (on stability ball),腰腹,负重,ok,
0851,负重西斯深蹲,weighted sissy squat,大腿,负重,ok,
0852,负重深蹲,weighted squat,大腿,负重,ok,
0853,负重站姿弯举,weighted standing curl,上臂,负重,ok,
0854,负重站姿手挤压,weighted standing hand squeeze,前臂,负重,ok,
0856,负重斯文德推举,weighted svend press,胸部,负重,ok,
0858,绕环冲刺,wind sprints,腰腹,徒手,ok,
0859,负重腕,wrist rollerer,前臂,负重,ok,
0860,绳索后踢,cable kickback,上臂,绳索,ok,
0861,绳索坐姿划船,cable seated row,背部,绳索,ok,
0862,绳索转体（上下）,cable twist (up-down),腰腹,绳索,ok,
0863,哑铃仰卧外旋肩旋转,dumbbell lying external shoulder rotation,肩部,哑铃,ok,
0864,哑铃直立肩外旋旋转,dumbbell upright shoulder external rotation,肩部,哑铃,ok,
0865,仰卧腿髋上举,lying leg-hip raise,腰腹,徒手,ok,
0866,负重悬垂腿髋上举,weighted hanging leg-hip raise,腰腹,负重,ok,
0868,绳索弯举,cable curl,上臂,绳索,ok,
0869,器械肩推（第2式）,lever shoulder press v. 2,肩部,器械,ok,
0870,臀上,butt-ups,腰腹,徒手,ok,
0871,团身卷腹,tuck crunch,腰腹,徒手,ok,
0872,反向卷腹,reverse crunch,腰腹,徒手,ok,
0873,绳索反向卷腹,cable reverse crunch,腰腹,绳索,ok,
0874,绳索站姿卷腹（绳附件）,cable standing crunch (with rope attachment),腰腹,绳索,ok,
0968,弹力带交替肱二头肌弯举,band alternating biceps curl,上臂,弹力带,ok,
0969,弹力带交替V字两头起,band alternating v-up,腰腹,弹力带,ok,
0970,弹力带引体向上,band assisted pull-up,背部,弹力带,ok,
0971,弹力带健腹轮,band assisted wheel rollerout,腰腹,弹力带,ok,
0972,弹力带自行车卷腹,band bicycle crunch,腰腹,弹力带,ok,
0974,弹力带窄距下拉,band close-grip pulldown,背部,弹力带,ok,
0975,弹力带窄距俯卧撑,band close-grip push-up,上臂,弹力带,ok,
0976,弹力带集中弯举,band concentration curl,上臂,弹力带,ok,
0977,弹力带前侧平举,band front lateral raise,肩部,弹力带,ok,
0978,弹力带前平举,band front raise,肩部,弹力带,ok,
0979,弹力带水平帕洛夫推举,band horizontal pallof press,腰腹,弹力带,ok,
0980,弹力带俯身髋伸展,band bent-over hip extension,大腿,弹力带,ok,
0981,弹力带开合折叠仰卧起坐,band jack knife sit-up,腰腹,弹力带,ok,
0983,弹力带跪姿单臂下拉,band kneeling one arm pulldown,背部,弹力带,ok,
0984,弹力带仰卧髋内旋旋转,band lying hip internal rotation,大腿,弹力带,ok,
0985,弹力带跪姿转体卷腹,band kneeling twisting crunch,腰腹,弹力带,ok,
0986,弹力带单臂过头肱二头肌弯举,band one arm overhead biceps curl,上臂,弹力带,ok,
